令和５年,医療施設調査,令和５（２０２３）年１０月１日,
都道府県編　第１０７表　一般診療所数（重複計上）；実施件数，在宅医療サービス・都道府県−指定都市・特別区・中核市（再掲）・病床の有無・療養病床を有する一般診療所（再掲）別
注：「実施件数」は令和５年９月中の数である。
,総数,医療保険等による,,,,,,,,,,,,,,,,,,,介護保険による,,,,,,
,,総数,往診,,在宅患者訪問診療,,歯科訪問診療,,救急搬送診療,,在宅患者訪問看護・指導,,精神科在宅患者訪問看護・指導,,在宅患者訪問リハビリテーション指導管理,,訪問看護ステーションへの指示書の交付,,在宅看取り,,総数,居宅療養管理指導（介護予防サービスを含む）,,訪問看護（介護予防サービスを含む）,,訪問リハビリテーション（介護予防サービスを含む）,
,,施設数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,施設数,実施件数,施設数,実施件数,施設数,実施件数
,,,,,,,,,,,,,,,,,,,,,,,,,,,
総数
福山市,344,130,75,702,74,4273,2,537,5,5,7,62,1,2,7,29,72,979,24,56,42,28,1652,3,8,12,820
呉市,209,97,52,623,67,3972,3,76,6,23,13,132,2,13,6,15,50,733,14,31,26,16,452,11,167,7,129
下関市,260,93,51,366,57,3364,-,-,5,10,10,36,-,-,7,69,41,334,12,16,27,18,667,4,45,4,247
高松市,404,162,81,1237,86,6958,1,51,3,5,17,489,-,-,4,19,73,753,25,73,43,30,2575,6,67,6,85
松山市,475,171,93,1723,97,12374,2,55,5,12,12,2054,1,297,12,158,84,1937,33,97,56,45,5533,7,35,6,393
高知市,243,59,29,322,31,2613,1,76,3,4,4,73,2,10,4,54,30,522,8,20,19,14,1366,3,45,6,221
久留米市,303,111,59,399,63,2154,-,-,5,6,5,35,-,-,2,2,60,570,18,36,27,16,654,1,1,4,465
長崎市,499,201,118,1189,132,6989,-,-,6,9,12,216,1,4,9,57,103,1427,26,51,64,47,1188,10,47,13,1101
佐世保市,215,72,33,400,42,3213,2,141,5,6,7,116,1,4,3,18,40,223,11,24,22,9,484,3,31,5,259
大分市,392,133,70,838,80,6982,1,74,4,5,7,237,-,-,6,58,60,675,26,83,44,34,3354,5,98,5,92
宮崎市,396,126,75,1172,70,7114,-,-,5,10,7,53,3,442,4,24,73,1218,33,101,40,35,2153,6,27,5,100
鹿児島市,538,187,100,2682,101,11618,1,69,10,26,20,1829,5,787,13,295,83,2185,23,64,69,43,4656,6,171,31,5553
那覇市,263,50,23,473,31,6590,1,45,-,-,1,4,6,558,-,-,25,828,12,69,17,14,2217,-,-,3,922
有床
全　　　　　国,5641,2120,1111,14610,1332,119034,29,5683,136,408,237,10505,7,371,113,1280,1001,17220,393,1137,854,525,44000,162,5414,305,19278
北　海　道,345,106,46,466,54,8748,3,359,7,14,18,548,-,-,5,44,45,946,13,50,40,16,1168,8,329,19,1685
青　　　森,109,50,23,199,22,2084,-,-,5,12,7,280,-,-,1,3,17,356,9,30,14,7,335,4,145,2,27
岩　　　手,75,27,13,542,15,1551,-,-,4,9,1,2,-,-,-,-,11,456,2,17,8,5,331,2,6,4,350
宮　　　城,96,20,13,554,15,1868,-,-,2,2,3,10,-,-,1,2,12,243,6,42,6,5,299,1,44,1,137
秋　　　田,46,19,9,98,13,315,-,-,-,-,1,6,-,-,-,-,8,66,4,4,7,4,77,-,-,2,18
山　　　形,46,27,14,368,15,1467,-,-,1,1,6,493,1,10,-,-,8,76,8,22,10,9,509,2,74,-,-
福　　　島,75,20,6,36,13,601,1,1,1,1,2,21,-,-,1,1,10,160,4,11,5,2,18,2,26,1,19
茨　　　城,106,39,21,359,25,3797,-,-,5,17,5,884,-,-,1,1,20,453,12,43,19,12,1561,4,949,6,588
栃　　　木,94,21,10,161,11,1190,-,-,3,3,2,6,-,-,1,1,13,407,3,16,7,3,678,3,12,5,550
群　　　馬,61,26,10,140,13,753,-,-,1,1,4,37,-,-,-,-,14,248,3,12,8,4,277,1,33,-,-
埼　　　玉,181,51,23,925,28,3658,-,-,2,5,5,57,-,-,8,93,24,545,9,66,28,14,2013,-,-,15,1202
千　　　葉,137,28,18,523,18,4436,2,666,-,-,4,48,1,1,4,43,17,586,10,49,16,15,3992,5,206,5,477
東　　　京,302,62,42,1469,48,11212,2,228,5,23,11,277,1,20,6,306,33,2357,26,122,34,28,5427,2,77,7,332
神　奈　川,163,27,11,289,18,3668,1,7,1,3,1,733,-,-,1,4,14,278,9,36,12,10,1652,1,3,2,147
新　　　潟,41,12,6,20,7,248,-,-,-,-,-,-,-,-,-,-,3,13,1,1,3,2,78,1,150,1,40
富　　　山,32,12,4,45,5,144,-,-,-,-,-,-,-,-,1,8,4,17,2,3,4,2,135,1,12,2,38
石　　　川,56,14,5,25,11,496,-,-,2,2,1,2,-,-,1,9,5,22,-,-,7,5,247,2,102,1,16
福　　　井,46,19,11,71,12,336,-,-,3,4,1,3,-,-,-,-,10,113,2,3,14,7,134,2,15,7,291
山　　　梨,32,10,8,202,5,520,-,-,-,-,-,-,-,-,1,6,5,149,4,21,5,3,176,-,-,2,405
長　　　野,57,21,12,72,13,1009,1,10,2,5,3,80,1,1,-,-,10,225,5,13,9,6,417,2,65,-,-
岐　　　阜,110,50,32,625,31,2831,1,23,2,7,8,2077,-,-,4,26,24,778,13,63,18,11,1364,4,140,6,174
静　　　岡,148,41,24,370,21,1345,-,-,-,-,5,42,-,-,1,1,21,323,7,29,13,9,1013,1,11,3,158
愛　　　知,268,87,43,477,43,4328,1,754,1,22,3,26,-,-,6,104,39,514,14,40,36,25,2064,6,119,15,1834
三　　　重,67,27,18,288,15,1260,-,-,3,13,5,68,-,-,2,12,11,124,8,10,11,6,269,5,205,5,55
滋　　　賀,33,6,3,23,6,413,-,-,-,-,-,-,-,-,1,72,4,39,1,2,3,1,78,2,6,2,1259
京　　　都,71,19,16,177,14,808,-,-,-,-,5,102,-,-,1,1,6,90,4,4,7,6,394,2,92,2,195
大　　　阪,183,44,23,137,27,2233,2,63,2,12,7,47,-,-,7,82,24,547,2,4,18,12,1587,6,255,9,825
兵　　　庫,155,53,31,240,33,2212,1,1361,6,38,7,112,-,-,6,48,33,670,15,26,30,19,1318,4,261,13,669
奈　　　良,31,9,5,51,4,549,1,3,-,-,1,4,-,-,-,-,2,26,2,2,2,1,234,1,2,-,-
和　歌　山,49,28,15,128,21,1406,-,-,3,11,3,69,-,-,4,80,18,204,5,17,13,3,198,7,101,7,612
鳥　　　取,34,11,8,37,7,428,-,-,-,-,2,35,-,-,4,49,6,77,3,9,4,3,184,2,50,3,97
