令和５年,医療施設調査,令和５（２０２３）年１０月１日,
都道府県編　第１０７表　一般診療所数（重複計上）；実施件数，在宅医療サービス・都道府県−指定都市・特別区・中核市（再掲）・病床の有無・療養病床を有する一般診療所（再掲）別
注：「実施件数」は令和５年９月中の数である。
,総数,医療保険等による,,,,,,,,,,,,,,,,,,,介護保険による,,,,,,
,,総数,往診,,在宅患者訪問診療,,歯科訪問診療,,救急搬送診療,,在宅患者訪問看護・指導,,精神科在宅患者訪問看護・指導,,在宅患者訪問リハビリテーション指導管理,,訪問看護ステーションへの指示書の交付,,在宅看取り,,総数,居宅療養管理指導（介護予防サービスを含む）,,訪問看護（介護予防サービスを含む）,,訪問リハビリテーション（介護予防サービスを含む）,
,,施設数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,施設数,実施件数,施設数,実施件数,施設数,実施件数
,,,,,,,,,,,,,,,,,,,,,,,,,,,
総数
東　　　京,14592,3021,1771,33105,1627,212244,24,3718,100,282,219,9795,73,3172,181,2364,1417,41153,540,2079,1183,919,106626,129,2572,186,11056
神　奈　川,6987,1610,913,19795,928,148808,19,3121,54,224,120,6801,31,3358,83,730,771,23930,381,1894,636,495,85456,44,1113,76,2859
新　　　潟,1614,550,297,2612,335,11945,5,69,18,29,19,463,5,309,33,251,242,2253,92,234,129,92,4000,15,265,14,854
富　　　山,712,268,130,1215,177,8181,2,166,11,29,10,72,2,330,23,129,136,1976,45,102,69,52,3308,9,124,6,113
石　　　川,823,306,163,1388,185,10966,1,1,13,32,19,284,2,5,19,112,142,2221,41,138,105,81,5470,10,514,15,525
福　　　井,525,201,111,502,136,3600,-,-,6,8,12,180,1,95,10,28,107,1092,32,63,61,39,1347,8,102,3,277
山　　　梨,694,189,88,882,90,3535,2,391,8,19,10,248,1,5,11,167,78,1051,36,75,41,25,1290,6,11,11,487
長　　　野,1542,618,354,2044,388,10962,-,-,16,32,54,533,8,128,46,236,325,3592,129,212,174,121,3454,29,782,27,1922
岐　　　阜,1488,653,361,4020,419,24450,7,379,25,59,68,1671,6,928,38,232,346,6073,136,416,256,194,9322,36,429,37,1574
静　　　岡,2576,796,396,6349,420,34513,-,-,37,84,57,1207,10,558,54,261,425,5981,178,662,207,147,15681,23,192,38,4197
愛　　　知,5414,1750,942,12481,1012,87683,10,868,54,143,112,4119,24,659,115,715,839,19844,305,1173,620,463,38743,59,1591,99,6342
三　　　重,1431,525,300,2846,289,15268,1,7,20,54,24,313,2,26,24,163,232,4104,98,280,138,94,5953,9,55,25,1706
滋　　　賀,1110,414,226,1567,266,9445,2,156,15,30,27,208,4,126,32,90,213,2383,60,106,121,88,4352,19,126,24,1478
京　　　都,2417,917,535,4452,549,25161,6,333,35,61,62,1094,17,1547,75,482,441,7996,127,279,293,211,10368,51,1834,61,4678
大　　　阪,8694,3202,1759,19954,1951,158181,12,1618,60,129,290,5402,57,2017,234,2126,1627,43158,477,1403,1215,870,73057,175,3513,229,11363
兵　　　庫,5041,1991,1109,10544,1155,63309,8,1001,51,123,146,2626,16,503,114,615,1020,19316,345,855,626,453,28136,96,1994,116,5190
奈　　　良,1182,401,222,2204,240,13019,2,851,7,16,19,302,5,82,30,134,211,2410,68,155,131,91,5042,17,482,23,863
和　歌　山,959,478,297,2105,317,12789,1,29,15,22,36,1024,5,936,34,104,268,3611,82,168,129,84,3591,17,233,32,1001
鳥　　　取,440,181,93,1083,130,6628,2,37,3,5,8,202,1,223,8,23,86,1428,31,74,51,30,1683,4,44,8,1026
島　　　根,652,311,183,1433,212,8236,-,-,11,16,18,320,4,33,12,72,138,1777,40,59,82,48,1826,16,268,14,1423
岡　　　山,1434,557,288,2283,343,17268,5,527,23,40,31,442,10,940,26,197,249,2890,85,189,178,129,7959,27,514,26,1072
広　　　島,2358,961,527,5004,572,26376,7,1202,47,97,71,489,12,202,59,334,517,7516,139,283,258,186,8217,31,387,56,3142
山　　　口,1105,385,191,1634,238,10799,1,72,23,54,28,381,2,132,23,136,186,1730,61,109,110,67,2238,16,89,26,801
徳　　　島,609,236,124,902,116,4617,5,58,10,18,20,187,1,1,15,42,101,1193,32,50,58,36,1032,7,110,16,867
香　　　川,734,293,158,1524,141,7505,1,2,3,5,21,87,-,-,10,210,116,1126,37,100,69,45,2055,8,108,12,368
愛　　　媛,1058,402,209,2093,223,11259,3,53,9,16,29,279,5,540,17,243,174,2238,72,124,100,69,4846,15,94,14,462
高　　　知,459,137,69,716,75,4233,-,-,6,10,6,87,2,10,8,79,60,784,20,43,31,19,1828,3,16,6,204
福　　　岡,4381,1379,648,5775,824,56028,13,1397,49,80,106,1192,17,643,75,772,699,11533,201,494,416,308,24219,46,548,64,3467
佐　　　賀,564,204,114,1324,115,6908,1,57,6,33,20,375,4,327,3,24,69,741,27,72,40,26,2071,6,102,5,222
長　　　崎,1127,415,224,2217,244,10528,3,145,20,31,23,234,3,81,14,64,187,1779,56,104,103,66,1743,18,161,20,916
熊　　　本,1230,451,226,2387,262,13765,2,351,18,26,20,143,8,307,16,171,208,1939,75,150,106,65,4562,19,346,14,817
大　　　分,738,256,142,1224,148,8069,2,119,7,17,13,361,2,126,10,66,110,912,43,105,73,43,3224,10,142,9,243
宮　　　崎,775,221,124,1492,105,9014,-,-,16,34,14,120,2,144,11,45,113,1614,53,148,53,36,2481,8,59,8,124
鹿　児　島,1099,398,231,3681,226,16191,2,77,17,43,38,1853,7,818,17,491,156,2703,54,126,130,81,5697,18,128,35,5684
沖　　　縄,868,166,97,1577,111,12374,2,51,6,20,14,66,11,1026,3,15,72,1621,53,184,68,48,4653,6,162,11,1647
（再掲）指定都市・特別区, , , , , , , , , , , , , , , , , , , , , , , , , , , 
東京都の区部,11413,2276,1367,24967,1214,155382,16,1652,82,221,164,7215,55,2877,140,1798,1033,30542,379,1469,889,680,74929,101,2063,132,7716
札幌市,1301,276,155,4485,156,30384,5,1229,10,30,33,878,7,552,21,412,149,5487,80,225,116,99,16054,8,137,19,2795
仙台市,912,163,85,1028,66,8598,1,2,11,30,8,1392,4,73,5,42,79,1698,31,166,55,38,4099,5,36,5,78
さいたま市,1002,238,127,3967,139,25620,4,663,3,13,13,59,5,16,18,76,122,3528,60,338,119,82,11627,9,64,20,1078
千葉市,690,136,84,1748,81,14320,1,480,8,13,11,359,2,8,9,90,74,1986,41,171,63,49,9078,9,976,15,854
横浜市,3137,646,352,8861,367,54637,7,1268,22,73,40,908,16,940,31,448,315,9366,149,733,260,194,31032,16,205,31,1261
川崎市,1040,257,149,3594,143,27197,1,24,15,58,25,2570,7,1875,16,68,120,4407,62,321,121,94,16387,11,315,16,592
相模原市,445,75,38,988,44,10026,1,3,2,15,6,572,1,177,1,5,35,1950,21,108,25,23,5859,1,207,1,10
新潟市,634,191,99,1078,111,6410,1,20,7,11,7,105,2,234,16,154,85,1179,31,88,39,28,2547,4,52,5,466
静岡市,534,156,83,2328,87,11139,-,-,8,25,15,335,2,10,14,86,92,1643,31,179,42,33,4097,2,8,5,144
浜松市,617,201,95,1665,93,8630,-,-,8,16,11,453,4,520,15,84,113,1431,38,123,42,27,5127,5,64,11,1002
名古屋市,2197,706,389,5295,400,40814,4,677,23,83,47,1376,11,237,32,173,345,9155,112,444,262,208,21239,20,164,29,797
京都市,1583,581,341,2765,342,18313,5,306,25,40,38,741,11,1299,53,251,272,5487,71,172,194,137,8280,26,1031,38,3699
大阪市,3669,1214,677,9431,733,63519,5,271,30,55,101,1823,23,930,91,915,592,16712,186,645,486,339,28249,67,1401,102,4593
堺市,724,300,158,1824,179,18730,1,80,3,9,21,284,6,205,14,183,158,5920,47,107,109,79,8254,18,203,14,1041
神戸市,1598,620,353,3590,359,17977,4,380,13,55,43,992,5,40,32,87,300,6212,94,255,206,157,8611,25,329,39,879
岡山市,573,244,121,944,156,8798,2,464,9,19,11,186,3,561,8,38,120,1646,41,95,79,59,4432,8,69,12,257
広島市,1135,427,232,1882,250,13475,3,600,21,31,28,148,5,64,24,194,230,3945,48,101,105,78,4210,11,138,23,1390
北九州市,868,291,146,1038,188,12983,2,160,7,10,23,353,2,20,18,179,144,2094,53,103,88,66,4862,10,123,15,1012
福岡市,1579,414,196,2613,226,26029,4,570,15,35,34,391,10,446,31,389,220,4251,56,189,158,114,12992,22,197,26,1067
熊本市,555,202,100,1457,120,8255,2,351,7,11,12,121,6,294,12,155,97,1271,38,92,59,42,3889,8,305,8,387
（再掲）中核市, , , , , , , , , , , , , , , , , , , , , , , , , , , 
旭川市,201,46,21,797,19,1641,-,-,2,5,1,40,1,40,1,1,16,286,8,25,10,8,1605,1,40,1,81
函館市,180,62,20,208,27,2579,1,103,-,-,5,183,2,410,3,20,24,392,6,14,17,8,771,2,16,3,314
青森市,180,40,14,164,22,1144,-,-,2,5,2,2,1,175,1,1,13,246,7,39,11,9,637,2,948,-,-
八戸市,146,34,15,242,14,1729,-,-,1,1,1,40,-,-,1,1,21,593,7,32,10,8,804,2,35,2,34
盛岡市,236,64,26,163,29,1680,2,39,-,-,5,7,1,8,4,5,33,521,8,44,14,9,888,-,-,6,370
秋田市,274,83,28,183,41,1211,-,-,1,2,4,309,-,-,1,2,32,249,10,27,11,7,335,1,2,2,3
山形市,238,74,43,904,44,4647,-,-,2,2,1,2,1,5,3,39,33,404,14,64,20,13,1472,2,2,3,395
郡山市,219,71,31,617,44,3779,5,113,3,3,5,18,-,-,5,12,42,632,14,69,24,16,1198,2,80,5,946
いわき市,225,59,22,225,36,1947,-,-,1,1,7,116,-,-,2,6,27,403,9,26,15,9,1074,2,3,-,-
福島市,233,67,30,376,40,2467,3,256,3,4,2,957,-,-,4,9,38,829,19,68,18,16,900,4,152,3,31
水戸市,229,59,28,436,30,2630,-,-,1,1,2,10,1,101,8,27,32,449,10,43,23,17,1474,2,12,4,264
宇都宮市,407,85,38,467,38,3547,1,3,7,12,6,46,1,9,6,98,43,1039,12,47,18,14,1699,1,2,2,422
前橋市,324,135,67,699,84,7109,1,42,8,11,14,242,-,-,4,6,73,1431,32,105,37,28,3020,5,13,2,4
高崎市,338,120,70,587,73,4583,-,-,4,4,10,313,2,28,7,78,57,616,21,67,37,29,2206,6,322,6,597
川越市,208,37,22,451,16,2344,-,-,3,5,4,329,1,21,6,78,24,698,6,47,13,9,1647,1,40,2,128
越谷市,187,39,19,647,19,3712,-,-,2,12,4,99,1,100,2,4,18,1218,9,30,13,11,1953,2,33,1,10
川口市,330,70,43,1010,30,5180,-,-,2,3,5,24,3,80,6,9,33,679,17,69,32,24,3459,5,21,5,39
船橋市,373,66,40,932,37,9572,-,-,-,-,4,100,4,20,4,16,31,1366,15,78,29,21,4051,3,512,2,1345
柏市,267,49,28,314,30,4334,-,-,-,-,7,266,2,97,5,25,27,445,15,61,26,20,2355,4,91,7,210
八王子市,373,80,40,1351,47,7898,1,1000,1,20,9,171,4,53,7,119,39,1357,15,83,36,27,4044,5,128,8,696
横須賀市,290,94,56,754,63,8637,1,298,3,8,3,363,1,106,4,24,43,1078,24,146,32,27,4000,-,-,3,56
富山市,321,100,51,466,61,4221,1,165,5,10,5,20,2,330,9,76,49,1222,15,44,26,21,2301,3,32,1,7
金沢市,393,129,67,726,77,6564,1,1,6,21,7,127,1,1,10,83,61,1389,21,76,44,36,3193,4,76,5,67
福井市,227,85,39,207,52,1868,-,-,3,3,6,18,1,95,3,8,48,597,10,18,30,15,760,4,21,2,42
甲府市,208,54,26,342,29,1184,-,-,2,2,4,206,-,-,6,154,32,354,11,27,11,6,234,2,5,3,290
長野市,282,92,47,295,55,1825,-,-,4,11,4,18,-,-,2,16,44,371,19,28,27,21,655,3,340,4,300
松本市,222,96,54,301,63,2241,-,-,2,3,14,239,2,17,12,59,56,883,18,38,28,17,427,7,142,4,19
岐阜市,367,172,96,1230,111,7054,-,-,13,35,18,199,3,600,8,39,94,1806,27,81,61,46,2993,7,61,8,299
豊橋市,237,71,30,321,39,2657,-,-,-,-,4,39,1,7,9,137,30,364,9,22,23,12,485,1,3,10,2078
豊田市,235,74,36,182,44,1709,1,17,4,10,4,41,1,270,7,40,31,576,9,16,16,16,888,1,5,2,7
岡崎市,223,74,37,462,40,2876,-,-,-,-,5,56,2,6,12,60,38,472,16,51,28,13,1347,6,200,10,860
一宮市,239,95,58,933,61,5611,-,-,4,7,9,249,2,45,5,16,46,1242,18,80,32,21,1954,5,174,5,59
大津市,293,110,59,437,69,3113,-,-,2,2,8,95,2,48,10,13,54,822,12,24,42,32,1887,7,50,8,270
高槻市,292,109,62,569,77,5415,-,-,-,-,10,159,2,5,11,100,61,1854,16,38,41,34,3176,4,20,3,59
東大阪市,390,169,91,941,97,6618,-,-,3,5,13,288,3,27,10,38,86,2341,21,56,74,53,3080,13,78,18,154
豊中市,423,153,83,841,99,9986,1,121,3,23,15,289,3,186,15,104,85,2233,36,108,63,43,5650,5,84,18,1317
枚方市,277,102,50,585,56,7800,-,-,3,6,11,357,1,6,7,58,48,1147,15,77,41,28,3813,9,85,7,580
八尾市,202,80,49,536,53,4011,1,168,1,4,8,210,3,25,5,39,31,793,9,17,28,25,1817,1,1,6,600
寝屋川市,180,65,33,235,43,2861,-,-,1,1,4,21,3,120,2,7,27,601,8,18,21,18,1883,4,205,2,20
吹田市,370,132,66,948,85,5196,1,10,2,2,10,155,3,80,7,32,74,1502,24,44,50,39,3144,5,72,9,343
姫路市,404,154,70,483,83,5387,-,-,5,11,8,160,3,186,11,30,79,1509,28,64,46,31,2819,11,223,11,67
西宮市,543,177,105,973,111,8441,-,-,5,10,19,255,1,17,11,66,93,1718,42,112,47,38,4138,3,90,5,533
尼崎市,478,183,105,1697,105,9350,-,-,6,6,16,425,1,20,11,135,102,2130,23,69,54,38,3141,4,37,13,2161
明石市,236,103,66,452,55,2937,-,-,-,-,7,120,1,2,3,61,52,1283,16,36,38,24,1460,8,449,10,184
奈良市,392,120,65,548,69,6164,2,851,3,7,5,222,2,38,9,33,69,978,21,51,39,32,3343,4,96,6,172
和歌山市,392,189,117,927,125,8089,1,29,7,10,17,723,2,65,12,26,106,1663,41,83,73,51,2457,10,104,15,294
鳥取市,140,58,22,224,43,2170,-,-,1,1,4,28,-,-,5,13,28,322,8,16,26,14,709,2,34,4,960
松江市,207,97,54,369,62,2710,-,-,1,2,6,52,3,22,3,14,47,728,10,19,24,19,894,3,30,6,43
倉敷市,329,110,53,461,64,4005,2,55,5,10,6,113,6,335,8,83,48,636,14,39,26,20,1592,6,301,8,605
福山市,315,118,67,680,65,3997,2,537,4,4,6,54,1,2,7,29,65,947,23,55,36,24,1619,2,7,9,689
呉市,194,89,47,531,61,3322,2,65,4,21,11,129,2,13,5,12,43,619,12,26,22,13,383,9,110,6,127
下関市,234,82,45,334,49,2901,-,-,4,7,5,22,-,-,7,69,33,287,10,12,22,14,434,-,-,3,245
高松市,357,137,68,961,69,4008,-,-,-,-,12,59,-,-,3,18,61,722,18,57,34,23,1445,5,65,6,85
松山市,418,144,77,872,79,5246,1,26,4,11,9,63,1,297,10,145,71,1254,26,54,42,34,3449,6,20,3,54
高知市,219,54,28,309,29,2410,-,-,3,4,3,71,2,10,4,54,26,502,7,18,17,13,1257,2,13,4,168
久留米市,259,96,53,294,54,1888,-,-,3,3,5,35,-,-,2,2,54,498,17,33,23,14,544,1,1,3,456
長崎市,446,174,103,1047,111,5294,-,-,6,9,7,144,1,4,8,56,86,1107,18,32,54,41,828,9,45,11,875
佐世保市,173,49,22,347,29,2158,2,141,2,2,4,24,1,4,1,1,26,153,8,17,15,8,472,2,6,2,4
大分市,306,102,53,680,55,4920,1,74,4,5,7,237,-,-,6,58,45,544,19,66,30,22,2568,3,32,3,53
宮崎市,348,109,63,1073,55,5870,-,-,4,9,7,53,2,144,3,18,60,1049,28,95,31,26,1826,5,14,3,82
鹿児島市,446,147,82,2449,78,10338,1,69,7,18,14,1671,5,787,9,272,67,1986,18,55,51,35,3964,2,11,18,4802
那覇市,243,48,23,473,29,6565,1,45,-,-,1,4,6,558,-,-,24,826,12,69,17,14,2217,-,-,3,922
