令和５年,医療施設調査,令和５（２０２３）年１０月１日,
二次医療圏編　第２４表　一般診療所数，在宅療養支援診療所の届出状況・二次医療圏別
,総数,在宅療養支援診療所,,
,,届出施設数,連携保険医療機関等の数,受け持つ在宅療養患者の数
,,,,
2703　北河内　　　　　　　,891,152,338,10344
2704　中河内　　　　　　　,657,143,334,5743
2705　南河内　　　　　　　,475,109,341,3804
2706　堺市　　　　　　　　,744,169,419,10822
2707　泉州　　　　　　　　,689,130,311,10300
2708　大阪市　　　　　　　,3734,715,2022,35263
28　　兵庫県　,5196,957,2387,44892
2801　神戸　　　　　　　　,1643,305,754,15492
2804　東播磨　　　　　　　,533,81,204,5298
2805　北播磨　　　　　　　,210,43,106,1380
2808　但馬　　　　　　　　,138,32,58,413
2809　丹波　　　　　　　　,78,11,16,103
2810　淡路　　　　　　　　,131,31,73,383
2811　阪神　　　　　　　　,1833,363,957,16650
2812　播磨姫路　　　　　　,630,91,219,5173
29　　奈良県　,1213,178,386,6443
2901　奈良　　　　　　　　,400,50,114,2880
2902　東和　　　　　　　　,149,28,75,622
2903　西和　　　　　　　　,280,43,99,1729
2904　中和　　　　　　　　,317,51,86,1085
2905　南和　　　　　　　　,67,6,12,127
30　　和歌山県,1008,181,532,5490
3001　和歌山　　　　　　　,478,99,316,3857
3002　那賀　　　　　　　　,111,24,68,538
3003　橋本　　　　　　　　,88,20,90,495
3004　有田　　　　　　　　,75,3,5,6
3005　御坊　　　　　　　　,62,10,15,36
3006　田辺　　　　　　　　,123,17,27,329
3007　新宮　　　　　　　　,71,8,11,229
31　　鳥取県　,474,77,249,3853
3101　東部　　　　　　　　,173,26,79,1059
3102　中部　　　　　　　　,77,9,18,467
3103　西部　　　　　　　　,224,42,152,2327
32　　島根県　,689,118,251,3078
3201　松江　　　　　　　　,252,45,93,1218
3202　雲南　　　　　　　　,44,6,11,148
3203　出雲　　　　　　　　,162,25,63,796
3204　大田　　　　　　　　,64,9,19,280
3205　浜田　　　　　　　　,87,22,45,431
3206　益田　　　　　　　　,60,9,15,184
3207　隠岐　　　　　　　　,20,2,5,21
33　　岡山県　,1550,278,712,9241
3301　県南東部　　　　　　,790,164,450,5220
3302　県南西部　　　　　　,499,72,164,3312
3303　高梁・新見　　　　　,57,6,17,53
3304　真庭　　　　　　　　,50,10,23,183
3305　津山・英田　　　　　,154,26,58,473
