令和５年,医療施設調査,令和５（２０２３）年１０月１日,
都道府県編　第６８表　病院数（重複計上）；実施件数，在宅医療サービス・都道府県−指定都市・特別区・中核市（再掲）・精神科病院−一般病院別
注：「実施件数」は令和５年９月中の数である。
,総数,医療保険等による,,,,,,,,,,,,,,,,,,,介護保険による,,,,,,
,,総数,往診,,在宅患者訪問診療,,歯科訪問診療,,救急搬送診療,,在宅患者訪問看護・指導,,精神科在宅患者訪問看護・指導,,在宅患者訪問リハビリテーション指導管理,,訪問看護ステーションへの指示書の交付,,在宅看取り,,総数,居宅療養管理指導（介護予防サービスを含む）,,訪問看護（介護予防サービスを含む）,,訪問リハビリテーション（介護予防サービスを含む）,
,,施設数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,施設数,実施件数,施設数,実施件数,施設数,実施件数
,,,,,,,,,,,,,,,,,,,,,,,,,,,
総数
熊本市,91,71,23,225,37,2256,1,23,8,202,5,164,8,1093,7,143,41,1000,8,22,38,19,1226,11,1157,22,1617
（再掲）中核市, , , , , , , , , , , , , , , , , , , , , , , , , , , 
旭川市,36,22,3,12,15,1009,-,-,2,5,2,46,3,715,1,79,13,318,2,6,9,5,600,2,48,5,3285
函館市,27,20,8,92,15,2075,1,150,2,30,3,196,2,150,1,38,11,234,4,12,8,6,561,-,-,4,1042
青森市,19,12,7,56,9,502,-,-,3,26,1,47,2,250,-,-,10,461,2,4,8,3,98,2,124,6,443
八戸市,21,12,5,141,7,278,-,-,4,118,1,3,3,265,2,39,6,111,3,8,5,2,52,2,17,2,748
盛岡市,26,19,9,122,11,1692,1,1,1,25,2,18,1,10,1,1,15,775,3,10,7,1,323,1,148,7,1132
秋田市,21,13,5,27,6,579,1,2,-,-,1,72,1,28,1,75,9,302,1,2,4,3,226,2,312,2,456
山形市,17,10,2,451,2,13,-,-,-,-,-,-,3,646,-,-,9,242,1,2,3,-,-,1,202,3,556
郡山市,22,14,6,22,8,505,2,115,1,3,-,-,1,58,1,6,11,444,2,10,7,4,265,4,1041,4,1660
いわき市,25,15,7,32,10,736,-,-,2,8,2,47,2,177,2,10,11,226,2,11,6,5,457,1,87,1,28
福島市,21,16,3,23,7,1285,2,359,1,108,3,1488,4,332,-,-,10,354,3,9,7,5,612,2,633,2,402
水戸市,25,15,4,122,9,556,-,-,1,71,4,76,-,-,-,-,10,363,3,7,9,4,244,1,80,5,821
宇都宮市,32,12,3,78,3,166,1,64,1,67,1,78,3,381,2,45,9,212,-,-,3,-,-,-,-,3,156
前橋市,20,12,6,49,6,536,1,1,4,32,2,138,1,1,1,106,8,323,2,4,6,3,327,3,433,5,1184
高崎市,25,15,8,46,12,840,1,47,3,77,2,8,1,535,2,24,9,260,5,7,12,10,739,2,176,5,1078
川越市,24,19,10,120,9,562,4,450,3,68,6,155,3,738,2,14,14,549,4,9,9,5,468,3,264,6,581
越谷市,15,7,1,16,5,427,-,-,-,-,3,109,1,1,-,-,7,279,1,3,7,3,527,3,197,4,1317
川口市,22,9,3,59,7,493,-,-,-,-,1,4,-,-,-,-,6,211,1,12,7,5,250,2,17,5,183
船橋市,22,15,8,57,9,787,2,31,3,13,-,-,3,706,-,-,11,254,4,8,11,8,472,1,48,6,2489
柏市,18,6,-,-,3,21,1,197,1,4,-,-,1,340,-,-,3,76,-,-,1,1,1,-,-,-,-
八王子市,35,19,6,52,10,848,-,-,1,3,1,3,7,1077,1,3,9,459,2,8,10,6,418,1,91,6,348
横須賀市,12,8,-,-,6,64,1,136,-,-,-,-,1,154,-,-,3,131,-,-,4,3,74,-,-,1,48
富山市,45,31,5,30,14,317,1,31,2,8,6,47,6,555,3,13,21,559,1,2,17,6,224,3,5,14,616
金沢市,43,26,8,49,12,741,-,-,4,60,8,489,3,116,2,19,16,410,1,2,16,6,407,8,1095,11,858
福井市,27,21,5,14,12,822,2,22,1,2,1,6,3,513,1,2,15,548,1,2,7,3,215,2,326,4,276
